Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"1995-02-02 10:10:00";0,02;;Geprueft
"1995-02-16 10:10:00";0,04;;Geprueft
"1995-03-02 14:45:00";0,014;;Geprueft
"1995-03-16 10:15:00";0,018;;Geprueft
"1995-03-30 10:35:00";0,008;;Geprueft
"1995-04-12 09:45:00";0,01;;Geprueft
"1995-04-26 09:50:00";0,045;;Geprueft
"1995-05-11 09:45:00";0,005;;Geprueft
"1995-05-23 09:45:00";0,006;;Geprueft
"1995-06-08 10:00:00";0,012;;Geprueft
"1995-06-22 09:45:00";0,014;;Geprueft
"1995-07-06 10:50:00";0,009;;Geprueft
"1995-07-19 09:55:00";0,013;;Geprueft
"1995-08-02 10:55:00";0,027;;Geprueft
"1995-08-17 10:00:00";0,022;;Geprueft
"1995-08-31 09:35:00";0,018;;Geprueft
"1995-09-14 09:30:00";0,033;;Geprueft
"1995-09-28 09:30:00";0,027;;Geprueft
"1995-10-12 10:00:00";0,02;;Geprueft
"1995-10-26 10:05:00";0,01;;Geprueft
"1995-11-07 10:10:00";0,015;;Geprueft
"1995-11-23 10:20:00";0,016;;Geprueft
"1995-12-06 09:45:00";0,015;;Geprueft
"1995-12-19 09:45:00";0,05;;Geprueft
"1996-01-04 09:45:00";0,025;;Geprueft
"1996-01-17 10:05:00";0,024;;Geprueft
"1996-02-01 10:25:00";0,025;;Geprueft
"1996-02-14 10:45:00";0,022;;Geprueft
"1996-02-29 10:15:00";0,021;;Geprueft
"1996-03-13 10:25:00";0,019;;Geprueft
"1996-03-28 10:15:00";0,012;;Geprueft
"1996-04-10 10:30:00";0,007;;Geprueft
"1996-04-25 10:45:00";0,008;;Geprueft
"1996-05-09 11:50:00";0,009;;Geprueft
"1996-05-20 10:30:00";0,025;;Geprueft
"1996-06-03 10:25:00";0,01;;Geprueft
"1996-06-17 09:30:00";0,015;;Geprueft
"1996-07-02 10:05:00";0,025;;Geprueft
"1996-07-18 10:00:00";0,012;;Geprueft
"1996-07-31 09:15:00";0,01;;Geprueft
"1996-08-13 10:08:00";0,008;;Geprueft
"1996-08-29 09:45:00";0,017;;Geprueft
"1996-09-12 10:30:00";0,014;;Geprueft
"1996-09-25 10:40:00";0,011;;Geprueft
"1996-10-10 10:30:00";0,009;;Geprueft
"1996-10-24 09:35:00";0,014;;Geprueft
"1996-11-07 10:30:00";0,012;;Geprueft
"1996-11-21 10:25:00";0,015;;Geprueft
"1996-12-03 10:15:00";0,016;;Geprueft
"1996-12-17 10:30:00";0,01;;Geprueft
"1997-01-02 09:00:00";0,015;;Geprueft
"1997-01-15 09:40:00";0,011;;Geprueft
"1997-01-29 09:50:00";0,009;;Geprueft
"1997-02-12 10:00:00";0,056;;Geprueft
"1997-02-26 10:35:00";0,043;;Geprueft
"1997-03-12 10:00:00";0,013;;Geprueft
"1997-03-26 10:35:00";0,034;;Geprueft
"1997-04-09 09:45:00";0,008;;Geprueft
"1997-04-23 10:40:00";0,012;;Geprueft
"1997-05-07 09:30:00";0,02;;Geprueft
"1997-05-21 09:45:00";0,012;;Geprueft
"1997-06-05 10:25:00";0,009;;Geprueft
"1997-06-17 09:50:00";0,011;;Geprueft
"1997-07-02 09:45:00";0,014;;Geprueft
"1997-07-16 10:15:00";0,016;;Geprueft
"1997-07-30 09:30:00";0,014;;Geprueft
"1997-08-13 10:20:00";0,019;;Geprueft
"1997-08-28 10:50:00";0,013;;Geprueft
"1997-09-10 09:30:00";0,017;;Geprueft
"1997-09-27 10:30:00";0,018;;Geprueft
"1997-10-08 09:40:00";0,022;;Geprueft
"1997-10-21 10:40:00";0,013;;Geprueft
"1997-11-06 10:10:00";0,014;;Geprueft
"1997-11-19 09:40:00";0,014;;Geprueft
"1997-12-03 10:05:00";0,017;;Geprueft
"1997-12-16 10:00:00";0,014;;Geprueft
"1997-12-29 09:30:00";0,018;;Geprueft
"1998-01-14 10:05:00";0,018;;Geprueft
"1998-01-28 09:40:00";0,024;;Geprueft
"1998-02-12 11:00:00";0,027;;Geprueft
"1998-02-25 09:30:00";0,013;;Geprueft
"1998-03-11 10:15:00";0,012;;Geprueft
"1998-03-25 10:40:00";0,014;;Geprueft
"1998-04-08 10:25:00";0,014;;Geprueft
"1998-04-21 10:00:00";0,009;;Geprueft
"1998-05-06 10:00:00";0,009;;Geprueft
"1998-05-19 09:30:00";0,016;;Geprueft
"1998-06-03 11:00:00";0,01;;Geprueft
"1998-06-18 11:00:00";0,008;;Geprueft
"1998-07-01 10:00:00";0,044;;Geprueft
"1998-07-15 08:20:00";0,009;;Geprueft
"1998-07-30 15:00:00";0,011;;Geprueft
"1998-08-12 10:00:00";0,014;;Geprueft
"1998-08-23 08:45:00";0,008;;Geprueft
"1998-08-27 15:35:00";0,008;;Geprueft
"1998-09-08 15:30:00";0,008;;Geprueft
"1998-10-07 09:15:00";0,009;;Geprueft
"1998-10-22 09:30:00";0,008;;Geprueft
"1999-01-13 09:55:00";0,01;;Geprueft
"1999-01-27 09:55:00";0,034;;Geprueft
"1999-02-10 09:35:00";0,01;;Geprueft
"1999-02-25 09:30:00";0,015;;Geprueft
"1999-03-10 09:20:00";0,02;;Geprueft
"1999-03-24 09:15:00";0,031;;Geprueft
"1999-04-07 09:50:00";0,014;;Geprueft
"1999-04-22 09:50:00";0,006;;Geprueft
"1999-05-06 09:15:00";0,006;;Geprueft
"1999-05-19 09:30:00";"< BG";;Geprueft
"1999-06-01 09:30:00";0,008;;Geprueft
"1999-06-10 10:40:00";0,012;;Geprueft
"1999-06-16 09:50:00";0,013;;Geprueft
"1999-06-30 09:35:00";0,013;;Geprueft
"1999-07-15 15:00:00";0,009;;Geprueft
"1999-07-28 09:45:00";0,014;;Geprueft
"1999-08-12 10:00:00";0,008;;Geprueft
"1999-08-26 15:35:00";0,016;;Geprueft
"1999-09-08 09:40:00";0,013;;Geprueft
"1999-09-22 15:40:00";0,01;;Geprueft
"1999-10-07 09:55:00";0,015;;Geprueft
"1999-10-20 15:40:00";0,012;;Geprueft
"1999-11-03 14:20:00";0,022;;Geprueft
"1999-11-17 09:30:00";0,013;;Geprueft
"1999-12-01 15:00:00";0,013;;Geprueft
"1999-12-15 09:35:00";0,018;;Geprueft
"1999-12-28 14:55:00";0,017;;Geprueft
"2000-01-11 09:40:00";0,01;4,00;Geprueft
